Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Beyond the fence,Simon's cat : beyond the fence,19870224,Monograph,Language material ; Text,Online resource,GBC0B5262,9781609418960 ; 9781609418977 ; 9781847679611,"Tofield, Simon",,person,,"Tofield, Simon [person]",,,Scotland ; United States of America,Edinburgh ; New York,Canongate,2010,,"1 online resource, illustrations",741.569411,ELD.DS.529008,"HUMOR--Form--Comic Strips & Cartoons ; Comic books, strips, etc ; Cats ; Human-animal relationships--Comic books, strips, etc ; English wit and humor, Pictorial ; Cats--Caricatures and cartoons ; ART--Techniques--Drawing ; Cats--Comic books, strips, etc",Caricature or cartoon ; Comic or graphic novel,English,
Beyond the grid,,19758129,Monograph,Language material ; Still image ; Text,Volume,GBC047456,9781684155545,"Parrott, Ryan",,person,author,"Di Meo, Simone, artist [person] ; Parrott, Ryan, author [person]",Mighty Morphin Power Rangers,,United States of America,Los Angeles,BOOM! Studios,2020,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Power Rangers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,
Beyond the grid,,19866783,Monograph,Language material ; Still image ; Text,Volume,GBC0A0623,9781684155538,"Bennett, Marguerite",,person,author,"Di Meo, Simone, artist [person] ; Bennett, Marguerite, author [person]",Mighty Morphin Power Rangers,,United States of America,Los Angeles,BOOM! Studios,2020,Deluxe edition,"1 volume, chiefly illustrations, 29 cm",741.5973,,"Science fiction comic books, strips, etc ; Power Rangers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Beyond the hundred kingdoms,,17166151,Monograph,Language material ; Still image ; Text,Volume,GBB552759,9781616557225,"Espinosa, Rod",,person,artist ; author,"Espinosa, Rod, artist ; author [person]",The courageous princess,1 [The courageous princess],United States of America,Milwaukie,Dark Horse,2015,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Princesses--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Fantasy,English,
Beyond the wall,,15479383,Monograph,Language material ; Text,Volume,GBB012424,9781600106569,"Venne, Matt",,person,,"Purcell, Gordon [person] ; Venne, Matt [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2010,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,,"Romans--Great Britain--Comic books, strips, etc--Fiction ; Revenge--Comic books, strips, etc--Fiction ; Soldiers--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
Beyond the windy isles : a Corto Maltese graphic novel,,17095821,Monograph,Language material ; Still image ; Text,Volume,GBB530264,9781631403170,"Pratt, Hugo",,person,artist ; author,"Pratt, Hugo, artist ; author [person] ; Mullaney, Dean, 1954-, editor ; translator [person] ; Castaldi, Simone, translator [person]",The Corto Maltese series,4 [The Corto Maltese series],United States of America,"San Diego, California",EuroComics,2015,,"116 pages, chiefly black and white illustrations, 30 cm",741.5945,LC.31.b.15358,"Corto Maltese (Fictitious character)--Comic books, strips, etc ; Adventure stories--Comic books, strips, etc ; Graphic novels ; Pratt, Hugo--Translations into English",Comic or graphic novel ; Translations into English,English,'4' --back cover ; 'The EuroComics editions feature new translations from Pratt's original Italian scripts' -- front cover leaf ; Translated from the Italian ; colour folded out map on inside back cover
Beyond twilight,,14921719,Monograph,Language material ; Text,Volume,GBA923589,9781934496688,"Ima, Ichiko",,person,,"Ima, Ichiko [person]",,,England ; United States of America,"London ; Torrance, California",Aurora ; Diamond,2009,,"1 volume, chiefly illustrations, 20 cm",741.5,,"Spirits--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Young adult fiction,English,
Beyond,Deepak Chopra's Beyond,14681053,Monograph,Language material ; Text,Volume,GBA894570,9781934413364,"Marz, Ron",,person,,"Marz, Ron [person] ; Chopra, Deepak [person]",,,England ; United States of America,London ; New York,Diamond ; Virgin,2008,,"1 volume, chiefly colour illustrations, 27 cm",741.5,,"Spouses--Comic books, strips, etc--Fiction ; Missing persons--India--Comic books, strips, etc--Fiction ; Americans--India--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
Bezimena,,19282086,Monograph,Language material ; Still image ; Text,Volume,GBB942587,9781683962090,"Bunjevac, Nina",,person,artist ; author,"Bunjevac, Nina, artist ; author [person]",,,United States of America,Seattle,Fantagraphics,2019,,"1 volume, chiefly illustrations",741.5,,"Artemis, (Greek deity)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
"Bible. Samuel, 1st",Battle of destiny,15744289,Monograph,Language material ; Text,Volume,GBB115780,9781934944295,"Dixon, Chuck",1954-,person,,"Minier, Aaron [person] ; Dixon, Chuck, 1954- [person]",,,United States of America,"San Diego, California",Ape Entertainment,2011,,"95 pages, chiefly illustrations (chiefly colour), 27 cm",741.5973,YK.2011.b.12535,"David, King of Israel--Comic books, strips, etc--Fiction ; Saul, King of Israel--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,'Based on the book of Samuel.' ; 'Presented by Crystal City Entertainment and produced by Avalanche Comics Entertainment.'
Bicycle --,Dead Soul's Day -- ; Guest gallery ; Karakuri -- ; Malinky robot : collected stories & other bits ; New Year's Day -- ; Sketches -- ; Stinky fish blues --,15893930,Monograph,Language material ; Text,Volume,GBB1D0471,9781607064060,"Liew, Sonny",1974-,person,,"Liew, Sonny, 1974- [person]",,,United States of America,"Berkley, California",Image Comics,2011,,"128 pages, chiefly illustrations (chiefly colour), 27 cm",741.595957,YK.2011.b.15417,"Comic books, strips, etc--Singapore ; Street life--Comic books, strips, etc ; Friendship--Comic books, strips, etc",Comic or graphic novel,English,
Biff : the early years,,16957212,Monograph,Language material ; Still image ; Text,Volume,,,"Kidd, Mick",,person,author,"Kidd, Mick, author [person] ; Garratt, Chris, artist [person]",,,England,London,Biff Products,1970,,"20 unnumbered pages, chiefly black and white illustrations, 21 cm",741.5941,Cup.821.dd.150 (28),Zines--Specimens,Comic or graphic novel ; Specimen,English,'Edited highlights from the original Biff comics'
Biff to the future,Back to the future : Biff to the future,18460934,Monograph,Language material ; Still image ; Text,Volume,GBB7D7955,9781631409745,"Gale, Bob",1951-,person,author,"Gale, Bob, 1951-, author [person] ; Fridolfs, Derek, author [person] ; Castro, Jaime [person] ; Robinson, Alan, 1978- [person] ; Santaolalla, Maria [person] ; Mowry, Chris [person] ; Lee, Shawn [person] ; Uyetake, Neil [person]",Back to the future,volume 1 [Back to the future],United States of America,"San Diego, California",,2017,,"143 pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2018.b.5710,"United States ; Comic books, strips, etc ; Time travel",Comic or graphic novel ; Novel ; Science fiction,English,"'Based on characters created by Robert Zemeckis & Bob Gale.' ; 'Originally published as Back to the future: Biff to the future, issues #1-6'--Indicia"
Big Kahn,Brownsville ; Jewish in America : a set of graphic novels by Neil Kleid,16103309,Monograph,Language material ; Text,Volume,GBB257456,9781561637003,"Kleid, Neil",,person,,"Cinquegrani, Nicolas [person] ; Allen, Jake [person] ; Kleid, Neil [person]",,,England ; United States of America,London ; New York,Turnaround,2012,,"2 volumes, chiefly illustrations, 23 cm",741.5973,,"Graphic novels ; Jews--America--Comic books, strips, etc--Fiction ; Judaism--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Big Nate : here goes nothing,Here goes nothing,18676807,Monograph,Language material ; Text,Online resource,GBB815356,9780007510733,"Peirce, Lincoln",,person,artist,"Peirce, Lincoln, artist [person]",,,England ; United Kingdom,London,HarperCollins,2013,,1 online resource (224 pages),741.56973,ELD.DS.247408,"Big Nate (Fictitious character)--Comic books, strips, etc--Juvenile literature ; JUVENILE FICTION--Comics & Graphic Novels--General ; Children's, young adult and educational / Children's and young adult fiction and true stories / Humorous stories (Children's/YA) ; Children's, young adult and educational / Children's and young adult fiction and true stories / Comic strip fiction / graphic novels (Children's/YA) ; Juvenile Fiction--Comics & Graphic Novels--General",Children's literature ; Comic or graphic novel,English,
Big Nate : what could possibly go wrong?,,16081524,Monograph,Language material ; Text,Volume,GBB244498,9780007478316,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,England,London,HarperCollins,2012,,"214 pages, chiefly colour illustrations, 23 cm",741.5973,YK.2013.a.9880,"Big Nate (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Graphic novels ; Children's stories, American",Children's fiction ; Comic or graphic novel,English,
Big Nate : what could possibly go wrong?,,18676780,Monograph,Language material ; Text,Online resource,GBB815330,9780007481569,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,England ; United Kingdom,London,HarperCollins,2012,,1 online resource (224 pages),741.5973,ELD.DS.247381,"Children's stories, American ; Big Nate (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Juvenile Fiction--Comics & Graphic Novels--General ; JUVENILE FICTION--Comics & Graphic Novels--General ; Children's, young adult and educational / Children's and young adult fiction and true stories / Humorous stories (Children's/YA) ; Children's, young adult and educational / Children's and young adult fiction and true stories / Comic strip fiction / graphic novels (Children's/YA) ; Graphic novels",Children's fiction ; Comic or graphic novel,English,
Big Nate all work and no play : a collection of Sundays,Big Nate. Selections,16111776,Monograph,Language material ; Still image ; Text,Volume,GBB262416,9781449425678,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,United States of America,"Kansas City, Missouri",Andrews McMeel Publishing,2012,,"143 pages, colour illustrations, 18 cm",741.56973,YK.2013.a.15008,"Big Nate (Fictitious character)--Comic books, strips, etc--Juvenile literature",Children's literature ; Comic or graphic novel,English,
Big Nate from the top,Big Nate. Selections ; From the top,15729725,Monograph,Language material ; Text,Volume,GBB106683,9781449402327,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,United States of America,"Kansas City, Missouri",Andrews McMeel Pub,2010,,"223 pages, chiefly illustrations, 23 cm",741.56973,YK.2011.a.36182,"Middle school--Comic books, strips, etc ; Schools--Comic books, strips, etc ; Behavior--Comic books, strips, etc ; Big Nate (Fictitious character)--Comic books, strips, etc ; Comic books, strips, etc--United States",Comic or graphic novel ; Humour or satire,English,"These strips appeared in newspapers from August 28, 2006, through April 1, 2007"
Big Nate genius mode,Big Nate. Selections ; Genius mode,18676795,Monograph,Language material ; Text,Online resource,GBB815344,9780007515653,"Peirce, Lincoln",,person,artist ; author,"Peirce, Lincoln, artist ; author [person]",,,England ; United Kingdom,London,HarperCollins,2013,,1 online resource (224 pages),741.56973,ELD.DS.247396,"JUVENILE FICTION--Humorous Stories ; Juvenile Fiction--Comics & Graphic Novels--General ; JUVENILE FICTION--Comics & Graphic Novels--General ; Children's, young adult and educational / Children's and young adult fiction and true stories / Humorous stories (Children's/YA) ; Children's, young adult and educational / Children's and young adult fiction and true stories / Comic strip fiction / graphic novels (Children's/YA) ; Big Nate (Fictitious character)--Comic book, strips, etc--Juvenile literature",Children's literature ; Comic or graphic novel,English,
Big Nate goes bananas!,,19008170,Monograph,Language material ; Still image ; Text,Volume,GBB8E6128,9781449489953,"Peirce, Lincoln",,person,artist ; author,"Peirce, Lincoln, artist ; author [person]",,,United States of America,Kansas,Andrews McMeel Publishing,2018,,"1 volume, chiefly illustrations, 23 cm",741.5,,"Big Nate--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Humour or satire,English,
Big Nate makes the grade,,16072923,Monograph,Language material ; Text,Volume,GBB240512,9780606263085 ; 9781449425661,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,United States of America,"Kansas City, Missouri",Andrews McMeel,2012,,"224 pages, chiefly illustrations, 23 cm + 1 poster (11 in x 17 in)",741.56973,YK.2013.a.3531,"Middle schools--Comic books, strips, etc ; Human behavior--Comic books, strips, etc ; Big Nate (Fictitious character)--Comic books, strips, etc",Comic or graphic novel,English,
Big Nate out loud,,15772362,Monograph,Language material ; Text,Volume,GBB134707,9781449407186,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,England ; United States of America,"Kansas, Missouri ; London",Andrews McMeel ; Simon & Schuster,2011,,"223 pages, chiefly illustrations, 23 cm",741.56973,YK.2012.a.3719,"Middle schools--Comic books, strips, etc--Juvenile literature",Children's literature ; Comic or graphic novel,English,
Big Nate. Selections,Big Nate all work and no play : a collection of Sundays,16111776,Monograph,Language material ; Still image ; Text,Volume,GBB262416,9781449425678,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,United States of America,"Kansas City, Missouri",Andrews McMeel Publishing,2012,,"143 pages, colour illustrations, 18 cm",741.56973,YK.2013.a.15008,"Big Nate (Fictitious character)--Comic books, strips, etc--Juvenile literature",Children's literature ; Comic or graphic novel,English,
Big Nate. Selections,Big Nate from the top ; From the top,15729725,Monograph,Language material ; Text,Volume,GBB106683,9781449402327,"Peirce, Lincoln",,person,,"Peirce, Lincoln [person]",,,United States of America,"Kansas City, Missouri",Andrews McMeel Pub,2010,,"223 pages, chiefly illustrations, 23 cm",741.56973,YK.2011.a.36182,"Middle school--Comic books, strips, etc ; Schools--Comic books, strips, etc ; Behavior--Comic books, strips, etc ; Big Nate (Fictitious character)--Comic books, strips, etc ; Comic books, strips, etc--United States",Comic or graphic novel ; Humour or satire,English,"These strips appeared in newspapers from August 28, 2006, through April 1, 2007"
Big Nate. Selections,Big Nate genius mode ; Genius mode,18676795,Monograph,Language material ; Text,Online resource,GBB815344,9780007515653,"Peirce, Lincoln",,person,artist ; author,"Peirce, Lincoln, artist ; author [person]",,,England ; United Kingdom,London,HarperCollins,2013,,1 online resource (224 pages),741.56973,ELD.DS.247396,"JUVENILE FICTION--Humorous Stories ; Juvenile Fiction--Comics & Graphic Novels--General ; JUVENILE FICTION--Comics & Graphic Novels--General ; Children's, young adult and educational / Children's and young adult fiction and true stories / Humorous stories (Children's/YA) ; Children's, young adult and educational / Children's and young adult fiction and true stories / Comic strip fiction / graphic novels (Children's/YA) ; Big Nate (Fictitious character)--Comic book, strips, etc--Juvenile literature",Children's literature ; Comic or graphic novel,English,
Big apple showdown,,18214491,Monograph,Language material ; Still image ; Text,Volume,GBB717561,9781302903312,,,,,,The totally awesome Hulk,volume 3 [The totally awesome Hulk],United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly colour illustrations, 23 cm",741.5,,"Wolverine, (Fictitious character)--Comic books, strips, etc--Fiction ; Hulk, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Big bad book of Bart Simpson,,10761854,Monograph,Language material ; Text,Volume,GBA3W7795,9781840236545,"Groening, Matt",,person,,"Groening, Matt [person]",,,England,London,Titan,2003,,"117 pages, chiefly colour illustrations, 26 cm",741.5,YK.2004.b.1800,"Simpsons (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel,English,
Big bang primal dribbling dreambook,,16982407,Monograph,Language material ; Still image ; Text,Volume,,,"Loveday, Pete",,person,author,"Loveday, Pete, author [person]",,,England,Barnstaple,Pete Loveday,1987,,"44 pages, chiefly black and white illustrations, 30 cm",741.5941,Cup.821.dd.150 (41),,Comic or graphic novel,English,
Big beastly book of Bart Simpson,,13678590,Monograph,Language material ; Text,Volume,GBA714715,9781845764111,,,,,"Groening, Matt [person] ; Bates, James (James W.) [person] ; Bates, Karen [person]",,,England,London,Titan,2007,,"117 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.7251,"Simpsons (Fictitious characters)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,"Writers, James W. Bates et al.; artists, Karen Bates et al.; The Simpsons created by Matt Groening"
Big beefy book of Bart Simpson,,13119209,Monograph,Language material ; Text,Volume,GBA516614,9781845760571,,,,,,,,England,London,Titan,2005,,"118 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.6090,"Graphic novels ; Simpson, Bart, (Fictitious character)--Comic books, strips, etc--Fiction ; Simpsons (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Big blown baby,,15654799,Monograph,Language material ; Text,Volume,GBB0B4354,9781600108624,"Fleming, Robert Loren",,person,,"Fleming, Robert Loren [person] ; Wray, William [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2011,,"1 volume, chiefly colour illustrations, 27 cm",741.5,,"Life on other planets--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
Big book of Bart Simpson,,10761724,Monograph,Language material ; Text,Volume,GBA2X3972,9781840234251,,,,,,,,England,London,Titan,2002,,"120 pages, colour illustrations, 26 cm",741.5973,YK.2003.b.3205,"Simpsons (Fictitious characters)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,
Big book of horror,,13495200,Monograph,Language material ; Text,Volume,GBA656135,9781600100147,"Niles, Steve",,person,,"Sala, Richard [person] ; Niles, Steve [person] ; McKeever, Ted [person] ; Morse, Scott [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2006,,"144 pages, chiefly colour illustrations, 23 cm",741.5973,,"Frankenstein's Monster, (Fictitious character)--Comic books, strips, etc--Fiction ; Horror comic books, strips, etc ; Dracula, Count (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Big bouncy book of Bart Simpson,,13415599,Monograph,Language material ; Text,Volume,GBA628355,9781845763046,,,,,"Groening, Matt [person] ; Bates, James (James W.) [person] ; Bates, Karen [person]",,,England,London,Titan,2006,,"118 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2008.b.509,"Simpsons (Fictitious characters)--Comic books, strips, etc--Juvenile fiction ; Children's stories, American--Comic books, strips, etc",Children's fiction ; Comic or graphic novel,English,
Big bratty book of Bart Simpson,,12286452,Monograph,Language material ; Text,Volume,GBA4Y0019,9781840238464,,,,,"Groening, Matt [person] ; Bates, James (James W.) [person] ; Bates, Karen [person]",,,England ; United States of America,"London ; Santa Monica, California",Titan,2004,,"118 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2006.b.846,"Simpsons (Fictitious characters)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,
Big break,,16009660,Monograph,Language material ; Text,Volume,GBB203923,9780785156741,"Williams, Rob (Robert Glyndwr)",,person,,"Garney, Ron [person] ; Williams, Rob (Robert Glyndwr) [person] ; Buffagni, Matteo [person]","Daken, Dark Wolverine",,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, 23 cm",741.5941,,"Science fiction comic books, strips, etc ; Wolverine (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Big brilliant book of Bart Simpson,,14531406,Monograph,Language material ; Text,Volume,GBA823180,9781845767525,,,,,"Groening, Matt [person] ; Bates, James (James W.) [person] ; Bates, Karen [person]",,,England,London,Titan,2008,,"117 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2009.a.23980,"Simpsons (Fictitious characters)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction,English,"Contributing artists, Karen Bates et al.; contributing writers, James W. Bates et al"
Big burn,Batman and Robin. Volume 5. The big burn,16885458,Monograph,Language material ; Still image ; Text,Volume,GBB4A6375,9781401250591 ; 9781401253332,"Tomasi, Peter",,person,author,"Mahnke, Doug, illustrator [person] ; Gleason, Patrick, illustrator [person] ; Kalisz, John, illustrator [person] ; Gray, Mick, illustrator [person] ; Tomasi, Peter, author [person]",The New 52!,,United States of America,New York,DC Comics,2014,,"1 volume (unpaged), colour illustrations, 27 cm",741.5973,YKL.2016.b.2800,"Robin, the Boy Wonder (Fictitious character)--Comic books, strips, etc--Fiction ; COMICS & GRAPHIC NOVELS / Superheroes",Comic or graphic novel ; Fiction ; Novel,English,
Big damn Sin City,Works. Selections,16714877,Monograph,Language material ; Still image ; Text,Volume,GBB451393,9781616552374,"Miller, Frank",1957-,person,artist ; author,"Varley, Lynn, artist [person] ; Miller, Frank, 1957-, artist ; author [person]",Sin City,,United States of America,Milwaukie,Dark Horse,2014,,"1 volume, chiefly black and white illustrations, 25 cm",741.5973,,"Detective and mystery comic books, strips, etc ; Sin City (Imaginary place)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Big fat slags book,Viz ; Viz : the big fat slags book,13291774,Monograph,Language material ; Text,Volume,GBA577147,9781870870467,"Dury, Graham",,person,,"Donald, Chris [person] ; Thorp, Simon, 1965- [person] ; Donald, Simon, 1964- [person] ; Dury, Graham [person]",,,England,London,John Brown Publishing,1994,,"72 pages, illustrations (some colour), 26 cm",741.5942,YK.2005.b.4478,"Women--Sexual behavior--Comic books, strips, etc ; English wit and humor, Pictorial",Comic or graphic novel,English,
